StockCode,Description,TotalAmount
DOT,DOTCOM POSTAGE,206248.77
22423,REGENCY CAKESTAND 3 TIER,174484.74
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6
85123A,WHITE HANGING HEART T-LIGHT HOLDER,104340.29000000001
47566,PARTY BUNTING,99504.33
85099B,JUMBO BAG RED RETROSPOT,94340.05
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001
M,Manual,78110.27
POST,POSTAGE,78101.88
23084,RABBIT NIGHT LIGHT,66964.99
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,64952.29
84879,ASSORTED COLOUR BIRD ORNAMENT,59094.93
79321,CHILLI LIGHTS,54117.76
23298,SPOTTY BUNTING,42548.130000000005
22386,JUMBO BAG PINK POLKADOT,42436.24
21137,BLACK RECORD COVER FRAME,40652.13
22502,PICNIC BASKET WICKER 60 PIECES,39619.5
23284,DOORMAT KEEP CALM AND COME IN,38166.64
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,38158.39
22960,JAM MAKING SET WITH JARS,37128.88
